EV,E_bat_max (kWh),n,Pchrg (kW),SOEa,SOEd,Ta_hr,Td_hr
EV42,20,0.9,3,0.1,0.95,30,42
EV43,20,0.9,3,0.3,0.95,30,42
EV44,20,0.9,3,0.4,0.95,30,42
EV45,20,0.9,3,0.2,0.95,30,42
EV46,20,0.9,3,0.2,0.95,30,42
EV47,20,0.9,3,0.1,0.95,30,42
EV48,20,0.9,3,0.3,0.95,30,42
EV49,20,0.9,3,0.4,0.95,30,42
EV50,20,0.9,3,0.2,0.95,30,42
EV51,20,0.9,3,0.2,0.95,30,42
EV52,20,0.9,3,0.1,0.95,30,42
EV53,20,0.9,3,0.3,0.95,30,42
EV54,20,0.9,3,0.4,0.95,30,42
EV55,20,0.9,3,0.2,0.95,30,42
EV56,20,0.9,3,0.2,0.95,30,42
EV57,20,0.9,3,0.1,0.95,30,42
EV58,20,0.9,3,0.3,0.95,30,42
EV59,20,0.9,3,0.4,0.95,30,42
EV60,20,0.9,3,0.2,0.95,30,42
EV61,20,0.9,3,0.2,0.95,30,42
EV62,20,0.9,3,0.1,0.95,30,42
EV63,20,0.9,3,0.3,0.95,30,42
EV64,20,0.9,3,0.4,0.95,30,42
EV65,20,0.9,3,0.2,0.95,30,42
EV66,20,0.9,3,0.2,0.95,30,42
EV67,20,0.9,3,0.1,0.95,30,42
EV68,20,0.9,3,0.3,0.95,30,42
EV69,20,0.9,3,0.4,0.95,30,42
EV70,20,0.9,3,0.2,0.95,30,42
EV71,20,0.9,3,0.2,0.95,30,42
EV72,20,0.9,3,0.1,0.95,30,42
EV73,20,0.9,3,0.3,0.95,30,42
EV74,20,0.9,3,0.4,0.95,30,42
EV75,20,0.9,3,0.2,0.95,30,42
EV76,20,0.9,3,0.2,0.95,30,42
EV77,20,0.9,3,0.1,0.95,30,42
EV78,20,0.9,3,0.3,0.95,30,42
EV79,20,0.9,3,0.4,0.95,30,42
EV80,20,0.9,3,0.2,0.95,30,42
EV81,20,0.9,3,0.2,0.95,30,42
EV82,20,0.9,3,0.1,0.95,30,42
EV83,20,0.9,3,0.3,0.95,30,42
EV84,20,0.9,3,0.4,0.95,30,42
EV85,20,0.9,3,0.2,0.95,30,42
EV86,20,0.9,3,0.2,0.95,30,42
EV87,20,0.9,3,0.1,0.95,30,42
EV88,20,0.9,3,0.3,0.95,30,42
EV89,20,0.9,3,0.4,0.95,30,42
EV90,20,0.9,3,0.2,0.95,30,42
EV91,20,0.9,3,0.2,0.95,30,42
EV92,20,0.9,3,0.1,0.95,30,42
EV93,20,0.9,3,0.3,0.95,30,42
EV94,20,0.9,3,0.4,0.95,30,42
EV95,20,0.9,3,0.2,0.95,30,42
EV96,20,0.9,3,0.2,0.95,30,42
EV97,20,0.9,3,0.1,0.95,30,42
EV98,20,0.9,3,0.3,0.95,30,42
EV99,20,0.9,3,0.4,0.95,30,42
EV100,20,0.9,3,0.2,0.95,30,42
EV101,20,0.9,3,0.2,0.95,30,42
EV102,20,0.9,3,0.1,0.95,30,42
EV103,20,0.9,3,0.3,0.95,30,42
EV104,20,0.9,3,0.4,0.95,30,42
EV105,20,0.9,3,0.2,0.95,30,42
EV106,20,0.9,3,0.2,0.95,30,42
EV107,20,0.9,3,0.1,0.95,30,42
EV108,20,0.9,3,0.3,0.95,30,42
EV109,20,0.9,3,0.4,0.95,30,42
EV110,20,0.9,3,0.2,0.95,30,42
EV111,20,0.9,3,0.2,0.95,30,42
EV112,20,0.9,3,0.1,0.95,30,42
EV113,20,0.9,3,0.3,0.95,30,42
EV114,20,0.9,3,0.4,0.95,30,42
EV115,20,0.9,3,0.2,0.95,30,42
EV116,20,0.9,3,0.2,0.95,30,42
EV117,20,0.9,3,0.1,0.95,30,42
EV118,20,0.9,3,0.3,0.95,30,42
EV119,20,0.9,3,0.4,0.95,30,42
EV120,20,0.9,3,0.2,0.95,30,42
EV121,20,0.9,3,0.2,0.95,30,42
EV122,20,0.9,3,0.1,0.95,30,42
EV123,20,0.9,3,0.3,0.95,30,42
EV124,20,0.9,3,0.4,0.95,30,42
EV125,20,0.9,3,0.2,0.95,30,42
EV126,20,0.9,3,0.2,0.95,30,42
EV127,20,0.9,3,0.1,0.95,30,42
EV128,20,0.9,3,0.3,0.95,30,42
EV129,20,0.9,3,0.4,0.95,30,42
EV130,20,0.9,3,0.2,0.95,30,42
EV131,20,0.9,3,0.2,0.95,30,42
EV132,20,0.9,3,0.1,0.95,30,42
EV133,20,0.9,3,0.3,0.95,30,42
EV134,20,0.9,3,0.4,0.95,30,42
EV135,20,0.9,3,0.2,0.95,30,42
EV136,20,0.9,3,0.2,0.95,30,42
EV137,20,0.9,3,0.1,0.95,30,42
EV138,20,0.9,3,0.3,0.95,30,42
EV139,20,0.9,3,0.4,0.95,30,42
EV140,20,0.9,3,0.2,0.95,30,42
EV141,20,0.9,3,0.2,0.95,30,42
EV142,20,0.9,3,0.1,0.95,30,42
EV143,20,0.9,3,0.3,0.95,30,42
EV144,20,0.9,3,0.4,0.95,30,42
EV145,20,0.9,3,0.2,0.95,30,42
EV146,20,0.9,3,0.2,0.95,30,42
EV147,20,0.9,3,0.1,0.95,30,42
EV148,20,0.9,3,0.3,0.95,30,42
EV149,20,0.9,3,0.4,0.95,30,42
EV150,20,0.9,3,0.2,0.95,30,42
EV151,20,0.9,3,0.2,0.95,30,42
EV152,20,0.9,3,0.1,0.95,30,42
EV153,20,0.9,3,0.3,0.95,30,42
EV154,20,0.9,3,0.4,0.95,30,42
EV155,20,0.9,3,0.2,0.95,30,42
EV156,20,0.9,3,0.2,0.95,30,42
EV157,20,0.9,3,0.1,0.95,30,42
EV158,20,0.9,3,0.3,0.95,30,42
EV159,20,0.9,3,0.4,0.95,30,42
EV160,20,0.9,3,0.2,0.95,30,42
EV161,20,0.9,3,0.2,0.95,30,42
EV162,20,0.9,3,0.1,0.95,30,42
EV163,20,0.9,3,0.3,0.95,30,42
EV164,20,0.9,3,0.4,0.95,30,42
EV165,20,0.9,3,0.2,0.95,30,42
EV166,20,0.9,3,0.2,0.95,30,42
EV167,20,0.9,3,0.1,0.95,30,42
EV168,20,0.9,3,0.3,0.95,30,42
EV169,20,0.9,3,0.4,0.95,30,42
EV170,20,0.9,3,0.2,0.95,30,42
EV171,20,0.9,3,0.2,0.95,30,42
EV172,20,0.9,3,0.1,0.95,30,42
EV173,20,0.9,3,0.3,0.95,30,42
EV174,20,0.9,3,0.4,0.95,30,42
EV175,20,0.9,3,0.2,0.95,30,42
EV176,20,0.9,3,0.2,0.95,30,42
EV177,20,0.9,3,0.1,0.95,30,42
EV178,20,0.9,3,0.3,0.95,30,42
EV179,20,0.9,3,0.4,0.95,30,42
EV180,20,0.9,3,0.2,0.95,30,42
EV181,20,0.9,3,0.2,0.95,30,42
EV182,20,0.9,3,0.1,0.95,30,42
EV183,20,0.9,3,0.3,0.95,30,42
EV184,20,0.9,3,0.4,0.95,30,42
EV185,20,0.9,3,0.2,0.95,30,42
EV186,20,0.9,3,0.2,0.95,30,42
EV187,20,0.9,3,0.1,0.95,30,42
EV188,20,0.9,3,0.3,0.95,30,42
EV189,20,0.9,3,0.4,0.95,30,42
EV190,20,0.9,3,0.2,0.95,30,42
EV191,20,0.9,3,0.2,0.95,30,42
EV192,20,0.9,3,0.1,0.95,30,42
EV193,20,0.9,3,0.3,0.95,30,42
EV194,20,0.9,3,0.4,0.95,30,42
EV195,20,0.9,3,0.2,0.95,30,42
EV196,20,0.9,3,0.2,0.95,30,42
EV197,20,0.9,3,0.1,0.95,30,42
EV198,20,0.9,3,0.3,0.95,30,42
EV199,20,0.9,3,0.4,0.95,30,42
EV200,20,0.9,3,0.2,0.95,30,42
