EV,E_bat_max (kWh),n,Pchrg (kW),SOEa,SOEd,Ta_hr,Td_hr
EV49,20,0.9,3,0.4,0.95,19,31
EV50,20,0.9,3,0.2,0.95,18,30
EV51,20,0.9,3,0.2,0.95,17,31
EV52,20,0.9,3,0.1,0.95,18,31
EV53,20,0.9,3,0.3,0.95,19,32
EV54,20,0.9,3,0.4,0.95,19,31
EV55,20,0.9,3,0.2,0.95,18,30
EV56,20,0.9,3,0.2,0.95,17,31
EV57,20,0.9,3,0.1,0.95,18,31
EV58,20,0.9,3,0.3,0.95,19,32
EV59,20,0.9,3,0.4,0.95,19,31
EV60,20,0.9,3,0.2,0.95,18,30
EV61,20,0.9,3,0.2,0.95,17,31
EV62,20,0.9,3,0.1,0.95,18,31
EV63,20,0.9,3,0.3,0.95,19,32
EV64,20,0.9,3,0.4,0.95,19,31
EV65,20,0.9,3,0.2,0.95,18,30
EV66,20,0.9,3,0.2,0.95,17,31
EV67,20,0.9,3,0.1,0.95,18,31
EV68,20,0.9,3,0.3,0.95,19,32
EV69,20,0.9,3,0.4,0.95,19,31
EV70,20,0.9,3,0.2,0.95,18,30
EV71,20,0.9,3,0.2,0.95,17,31
EV72,20,0.9,3,0.1,0.95,18,31
EV73,20,0.9,3,0.3,0.95,19,32
EV74,20,0.9,3,0.4,0.95,19,31
EV75,20,0.9,3,0.2,0.95,18,30
EV76,20,0.9,3,0.2,0.95,17,31
EV77,20,0.9,3,0.1,0.95,18,31
EV78,20,0.9,3,0.3,0.95,19,32
EV79,20,0.9,3,0.4,0.95,19,31
EV80,20,0.9,3,0.2,0.95,18,30
EV81,20,0.9,3,0.2,0.95,17,31
EV82,20,0.9,3,0.1,0.95,18,31
EV83,20,0.9,3,0.3,0.95,19,32
EV84,20,0.9,3,0.4,0.95,19,31
EV85,20,0.9,3,0.2,0.95,18,30
EV86,20,0.9,3,0.2,0.95,17,31
EV87,20,0.9,3,0.1,0.95,18,31
EV88,20,0.9,3,0.3,0.95,19,32
EV89,20,0.9,3,0.4,0.95,19,31
EV90,20,0.9,3,0.2,0.95,18,30
EV91,20,0.9,3,0.2,0.95,17,31
EV92,20,0.9,3,0.1,0.95,18,31
EV93,20,0.9,3,0.3,0.95,19,32
EV94,20,0.9,3,0.4,0.95,19,31
EV95,20,0.9,3,0.2,0.95,18,30
EV96,20,0.9,3,0.2,0.95,17,31
EV97,20,0.9,3,0.1,0.95,18,31
EV98,20,0.9,3,0.3,0.95,19,32
EV99,20,0.9,3,0.4,0.95,19,31
EV100,20,0.9,3,0.2,0.95,18,30
EV101,20,0.9,3,0.2,0.95,17,31
EV102,20,0.9,3,0.1,0.95,18,31
EV103,20,0.9,3,0.3,0.95,19,32
EV104,20,0.9,3,0.4,0.95,19,31
EV105,20,0.9,3,0.2,0.95,18,30
EV106,20,0.9,3,0.2,0.95,17,31
EV107,20,0.9,3,0.1,0.95,18,31
EV108,20,0.9,3,0.3,0.95,19,32
EV109,20,0.9,3,0.4,0.95,19,31
EV110,20,0.9,3,0.2,0.95,18,30
EV111,20,0.9,3,0.2,0.95,17,31
EV112,20,0.9,3,0.1,0.95,18,31
EV113,20,0.9,3,0.3,0.95,19,32
EV114,20,0.9,3,0.4,0.95,19,31
EV115,20,0.9,3,0.2,0.95,18,30
EV116,20,0.9,3,0.2,0.95,17,31
EV117,20,0.9,3,0.1,0.95,18,31
EV118,20,0.9,3,0.3,0.95,19,32
EV119,20,0.9,3,0.4,0.95,19,31
EV120,20,0.9,3,0.2,0.95,18,30
EV121,20,0.9,3,0.2,0.95,17,31
EV122,20,0.9,3,0.1,0.95,18,31
EV123,20,0.9,3,0.3,0.95,19,32
EV124,20,0.9,3,0.4,0.95,19,31
EV125,20,0.9,3,0.2,0.95,18,30
EV126,20,0.9,3,0.2,0.95,17,31
EV127,20,0.9,3,0.1,0.95,18,31
EV128,20,0.9,3,0.3,0.95,19,32
EV129,20,0.9,3,0.4,0.95,19,31
EV130,20,0.9,3,0.2,0.95,18,30
EV131,20,0.9,3,0.2,0.95,17,31
EV132,20,0.9,3,0.1,0.95,18,31
EV133,20,0.9,3,0.3,0.95,19,32
EV134,20,0.9,3,0.4,0.95,19,31
EV135,20,0.9,3,0.2,0.95,18,30
EV136,20,0.9,3,0.2,0.95,17,31
EV137,20,0.9,3,0.1,0.95,18,31
EV138,20,0.9,3,0.3,0.95,19,32
EV139,20,0.9,3,0.4,0.95,19,31
EV140,20,0.9,3,0.2,0.95,18,30
EV141,20,0.9,3,0.2,0.95,17,31
EV142,20,0.9,3,0.1,0.95,18,31
EV143,20,0.9,3,0.3,0.95,19,32
EV144,20,0.9,3,0.4,0.95,19,31
EV145,20,0.9,3,0.2,0.95,18,30
EV146,20,0.9,3,0.2,0.95,17,31
EV147,20,0.9,3,0.1,0.95,18,31
EV148,20,0.9,3,0.3,0.95,19,32
EV149,20,0.9,3,0.4,0.95,19,31
EV150,20,0.9,3,0.2,0.95,18,30
EV151,20,0.9,3,0.2,0.95,17,31
EV152,20,0.9,3,0.1,0.95,18,31
EV153,20,0.9,3,0.3,0.95,19,32
EV154,20,0.9,3,0.4,0.95,19,31
EV155,20,0.9,3,0.2,0.95,18,30
EV156,20,0.9,3,0.2,0.95,17,31
EV157,20,0.9,3,0.1,0.95,18,31
EV158,20,0.9,3,0.3,0.95,19,32
EV159,20,0.9,3,0.4,0.95,19,31
EV160,20,0.9,3,0.2,0.95,18,30
EV161,20,0.9,3,0.2,0.95,17,31
EV162,20,0.9,3,0.1,0.95,18,31
EV163,20,0.9,3,0.3,0.95,19,32
EV164,20,0.9,3,0.4,0.95,19,31
EV165,20,0.9,3,0.2,0.95,18,30
EV166,20,0.9,3,0.2,0.95,17,31
EV167,20,0.9,3,0.1,0.95,18,31
EV168,20,0.9,3,0.3,0.95,19,32
EV169,20,0.9,3,0.4,0.95,19,31
EV170,20,0.9,3,0.2,0.95,18,30
EV171,20,0.9,3,0.2,0.95,17,31
EV172,20,0.9,3,0.1,0.95,18,31
EV173,20,0.9,3,0.3,0.95,19,32
EV174,20,0.9,3,0.4,0.95,19,31
EV175,20,0.9,3,0.2,0.95,18,30
EV176,20,0.9,3,0.2,0.95,17,31
EV177,20,0.9,3,0.1,0.95,18,31
EV178,20,0.9,3,0.3,0.95,19,32
EV179,20,0.9,3,0.4,0.95,19,31
EV180,20,0.9,3,0.2,0.95,18,30
EV181,20,0.9,3,0.2,0.95,17,31
EV182,20,0.9,3,0.1,0.95,18,31
EV183,20,0.9,3,0.3,0.95,19,32
EV184,20,0.9,3,0.4,0.95,19,31
EV185,20,0.9,3,0.2,0.95,18,30
EV186,20,0.9,3,0.2,0.95,17,31
EV187,20,0.9,3,0.1,0.95,18,31
EV188,20,0.9,3,0.3,0.95,19,32
EV189,20,0.9,3,0.4,0.95,19,31
EV190,20,0.9,3,0.2,0.95,18,30
EV191,20,0.9,3,0.2,0.95,17,31
EV192,20,0.9,3,0.1,0.95,18,31
EV193,20,0.9,3,0.3,0.95,19,32
EV194,20,0.9,3,0.4,0.95,19,31
EV195,20,0.9,3,0.2,0.95,18,30
EV196,20,0.9,3,0.2,0.95,17,31
EV197,20,0.9,3,0.1,0.95,18,31
EV198,20,0.9,3,0.3,0.95,19,32
EV199,20,0.9,3,0.4,0.95,19,31
EV200,20,0.9,3,0.2,0.95,18,30
